date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1
12/30/2014,279055.0,,375246,498444,471070,78774,124754,129017,132715.0,286060,18166.0,508569.0,292791.0,593.0,203633.0,1052384.0,1052384.0,959375.0,7995249.0,718364,65824,134173.0,1256754.0,498444,361161,,102197,14630.0,375246,78774,386123,272317,2403460,14630.0
12/31/2014,200520.0,,267039,161630,187445,24477,35289,72303,77538.0,122076,5772.0,299738.0,134942.0,558.0,77172.0,735015.0,735015.0,590572.0,3311981.0,214801,22032,70482.0,390951.0,161630,147939,,23896,2446.0,267039,24477,82077,164337,819050,2446.0
1/2/2015,318181.0,,391791,773207,829665,114093,109472,246127,198872.0,340480,14375.0,435677.0,292010.0,1546.0,164003.0,850807.0,850807.0,1597114.0,9412886.0,1063144,74625,272125.0,1160785.0,773207,163122,,132133,28668.0,391791,114093,391240,269235,3073138,28668.0
1/5/2015,587914.0,,664254,1249470,1061355,217353,199816,444106,253586.0,443504,24740.0,1052772.0,329881.0,2029.0,273301.0,1815636.0,1815636.0,4965123.0,21581915.0,1848068,126981,286997.0,1637863.0,1249470,554955,,268769,53277.0,664254,217353,515585,397619,6215784,53277.0
1/6/2015,685792.0,,886584,1465269,1122490,223632,466162,251338,314716.0,744843,23393.0,714810.0,724179.0,851.0,361260.0,970278.0,970278.0,4295465.0,24626694.0,1588483,146966,356451.0,1782982.0,1465269,935715,,381586,54780.0,886584,223632,897341,569774,7089694,54780.0
1/7/2015,588860.0,,594162,1141039,1566810,284321,255481,371106,378677.0,665761,20369.0,1003456.0,504757.0,634.0,456387.0,1897772.0,1897772.0,2942069.0,19506429.0,1809120,145696,257692.0,3064631.0,1141039,619472,,416649,20412.0,594162,284321,692867,418279,4498851,20412.0
1/8/2015,574641.0,,1295646,1437132,1074960,220113,375053,723827,339401.0,1414469,21963.0,1066903.0,447836.0,1070.0,421037.0,2917699.0,2917699.0,3805094.0,31178176.0,2508589,150462,546435.0,2858925.0,1437132,853056,,302964,257124.0,1295646,220113,960631,445803,5124585,257124.0
1/9/2015,491023.0,,1385409,763790,974310,315797,262226,1550926,406448.0,818160,24165.0,699810.0,403647.0,1057.0,443653.0,2895995.0,2895995.0,3627866.0,24061125.0,2678304,129572,415354.0,1969262.0,763790,1073568,,253144,63111.0,1385409,315797,794590,273707,5303869,63111.0
1/12/2015,495360.0,,1228884,722843,790525,277666,199803,897831,297521.0,540184,28271.0,717853.0,438241.0,925.0,426281.0,1067015.0,1067015.0,5653248.0,26837920.0,1523292,192396,346173.0,1380714.0,722843,1180193,,330683,289901.0,1228884,277666,502485,307621,6235348,289901.0
1/13/2015,793930.0,,923505,1115163,1211015,183949,294595,709104,438922.0,653360,37201.0,544214.0,374838.0,586.0,345913.0,2581706.0,2581706.0,8696922.0,13287360.0,2080796,146351,875982.0,2897362.0,1115163,858183,,244849,20276.0,923505,183949,624125,310882,5034757,20276.0
