,date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1,MSCI FRANCE,,,
3518,11/15/2012,28.6,,10.415,24.7948,8.153,44.1511,66.87,7.265,26.335,41.85,15.0716,33.055,23.09,140,21.395,8.023,8.023,3.6733,0.7876,4.332,284.2264,70.45,12.5889,24.7948,27.8,,15.3188,,10.415,44.1511,23.805,39.964,4.6415,,94.84,,,
3519,11/16/2012,28.49,,10.3933,24.2384,8.135,44.3125,66.2,7.105,25.975,41.61,14.8014,32.5658,23.145,130,21.125,7.875,7.875,3.6361,0.7487,4.234,278.6631,69.73,12.4028,24.2384,27.6,,15.1634,,10.3933,44.3125,23.175,39.9413,4.5761,,93.73,,,
3520,11/19/2012,29.015,,10.8217,24.9432,8.23,44.7308,67.05,7.2,26.44,42.205,14.9444,33.8064,23.89,110,21.555,8.089,8.089,3.8652,0.7639,4.602,287.2156,69.58,12.6288,24.9432,27.93,,15.7563,,10.8217,44.7308,23.91,40.2211,4.6866,,96.28,,,
3521,11/20/2012,29.345,,10.9267,24.6974,8.267,45.1198,66.9,7.316,26.635,42.33,14.9603,34.4369,24.125,100,21.51,8.082,8.082,3.8627,0.7478,4.554,296.723,69.34,12.4692,24.6974,27.99,,16.0219,,10.9267,45.1198,24.71,40.4631,4.6749,,96.89,,,
3522,11/21/2012,29.46,,11.2567,24.8365,8.35,44.9217,66.67,7.34,26.43,42.805,15.0239,33.3223,23.82,110,22.07,8.143,8.143,3.7808,0.7572,4.625,312.0013,69.08,12.3939,24.8365,28.17,,15.8315,,11.2567,44.9217,24.765,40.3194,4.7563,,97.28,,,
3523,11/22/2012,29.915,,11.4317,25.328,8.455,45.2152,67.61,7.45,26.84,43.21,15.5804,34.1948,23.48,100,22.1,8.183,8.183,3.8875,0.8778,4.615,315.5303,70.53,12.487,25.328,28.21,,16.2874,,11.4317,45.2152,25.15,40.7202,4.797,,97.88,,,
3524,11/23/2012,30.17,,11.8167,25.5459,8.503,45.4354,68.67,7.48,26.91,43.605,15.5883,34.568,23.395,110,22.35,8.164,8.164,3.9313,0.8455,4.678,315.5303,71.15,13.0588,25.5459,28.5,,16.6833,,11.8167,45.4354,25.11,40.8336,4.8232,,98.7,,,
3525,11/26/2012,30.17,,11.5567,25.2862,8.546,45.2886,68.68,7.476,26.81,43.26,15.3419,36.2929,23.155,110,22.285,8.018,8.018,3.8949,0.8398,4.567,322.2976,70.5,13.01,25.2862,28.325,,16.7852,,11.5567,45.2886,25.245,40.6597,4.7752,,97.94,,,
3526,11/27/2012,30.41,,11.5217,25.4161,8.6,45.2079,68.85,7.552,27.125,43.13,15.008,36.3837,23.365,90,22.1,8.001,8.001,3.9702,0.8398,4.691,319.9311,71.67,12.7574,25.4161,28.66,,17.019,,11.5217,45.2079,25.31,41.0983,4.7447,,98.03,,,
3527,11/28/2012,30.56,,11.7033,25.7221,8.62,45.3473,69.08,7.5,27.265,43.21,15.0239,36.071,23.505,100,22.355,8.19,8.19,3.9578,0.8407,4.621,321.3427,72.3,12.651,25.7221,28.775,,17.3029,,11.7033,45.3473,25.2,41.1285,4.7738,,98.38,,,
3528,11/29/2012,30.945,,11.83,26.5473,8.608,45.3767,69.88,7.706,27.59,43.525,15.1193,36.4038,23.75,110,23.045,8.469,8.469,3.9297,0.8635,4.806,329.3555,70.3,12.5269,26.5473,29.27,,17.8958,,11.83,45.3767,25.605,41.1134,4.9119,,99.79,,,
3529,11/30/2012,31.14,,12.15,25.9492,8.7,45.5675,69.81,7.523,27.655,43.495,15.1591,35.5464,23.425,90,23.145,8.38,8.38,3.9016,0.799,4.9,331.5559,70.7,12.5136,25.9492,29.48,,17.4031,,12.15,45.5675,25.54,41.2798,4.8029,,99.58,,,
3530,12/3/2012,31.105,,12.0567,26.0327,8.708,45.6702,69.3,7.618,27.94,44.135,14.9762,35.6221,23.6,90,23.315,8.486,8.486,3.8263,0.817,4.82,332.0541,71.26,12.6732,26.0327,29.42,,17.3781,,12.0567,45.6702,25.445,41,4.8218,,99.8,,,
3531,12/4/2012,31.175,,12.0933,26.3433,8.622,45.9638,69.34,7.77,27.75,44.04,15.2386,35.7179,23.595,90,23.64,8.452,8.452,3.7179,0.8379,4.84,329.6046,71.95,12.385,26.3433,29.235,,17.5701,,12.0933,45.9638,25.695,40.8714,4.8174,,100.14,,,
3532,12/5/2012,31.23,,12.1933,27.3401,8.503,46.0812,69.59,8,27.725,44.3,14.9524,35.5111,23.57,100,24.79,8.35,8.35,3.7287,0.8398,4.995,339.4442,72.27,12.4825,27.3401,29.01,,17.5618,,12.1933,46.0812,25.665,40.9697,4.8552,,100.42,,,
3533,12/6/2012,31.29,,12.3183,27.5673,8.499,46.3234,69.44,8.2,27.885,44.95,15.3181,36.0609,23.4,100,24.1,8.324,8.324,3.727,0.8389,5.068,333.4242,74,12.1102,27.5673,28.975,,17.6703,,12.3183,46.3234,25.545,41.1588,4.813,,100.76,,,
3534,12/7/2012,31.6,,12.335,27.609,8.56,46.5436,68.68,8.396,27.9,45.365,15.2783,35.8591,23.8,90,24.57,8.293,8.293,3.7469,0.8142,5,330.7671,74.59,12.3407,27.609,29.7,,17.829,,12.335,46.5436,25.925,41.8545,4.8043,,100.93,,,
3535,12/10/2012,31.5,,12.4317,27.5395,8.57,46.6757,69.22,8.34,27.795,45.115,15.0398,35.9146,23.645,90,24.575,8.327,8.327,3.9206,0.8227,5.22,332.1372,74.12,12.5402,27.5395,29.67,,17.6202,,12.4317,46.6757,26.045,41.3856,4.8232,,101.08,,,
3536,12/11/2012,31.46,,12.59,28.068,8.625,47.094,70.6,8.56,27.56,45.11,15.1034,36.0104,23.38,90,24.805,9.014,9.014,4.0769,0.817,5.22,334.1715,73.7,12.6554,28.068,29.47,,17.6286,,12.59,47.094,26.2,41.6427,4.9148,,102.01,,,
3537,12/12/2012,31.25,,12.5833,28.0031,8.577,46.9032,70.64,8.536,27.42,44.82,15.4691,36.2122,23.26,70,24.86,9.036,9.036,4.4855,0.8104,5.248,337.5344,75,12.3097,28.0031,29.495,,17.8123,,12.5833,46.9032,26.1,41.6957,4.9642,,102.01,,,
3538,12/13/2012,31.295,,12.6833,27.8037,8.556,47.094,70.74,9,27.36,44.955,15.4611,36.2576,23.115,90,24.775,9.111,9.111,4.3035,0.8094,5.24,334.213,72.59,12.2432,27.8037,29.655,,17.7622,,12.6833,47.094,26.055,41.3403,4.9773,,101.87,,,
3539,12/14/2012,31.3,,12.5017,28.0031,8.519,47.3141,70.62,8.7,27.35,45.345,15.3578,36.2424,23.355,90,24.805,9.033,9.033,4.3532,0.8664,5.28,332.3863,72.59,12.2476,28.0031,29.685,,18.0545,,12.5017,47.3141,26,41.1436,4.9206,,101.85,,,
3540,12/17/2012,31.47,,12.5633,28.1097,8.421,46.9766,71.4,8.501,27.225,45.355,15.5168,36.5299,23.385,70,25.05,9.149,9.149,4.6336,0.9167,5.295,332.4693,69.62,12.2476,28.1097,29.32,,18.0378,,12.5633,46.9766,26.1,40.5085,4.8755,,101.67,,,
3541,12/18/2012,31.87,,12.5233,28.2998,8.438,47.1087,71.98,8.749,27.97,45.5,15.5565,36.3131,23.31,80,24.98,9.154,9.154,4.8511,0.9926,5.28,336.1643,69.14,12.4825,28.2998,29.755,,17.9877,,12.5233,47.1087,26.38,40.0699,4.8726,,101.92,,,
3542,12/19/2012,32,,12.4833,28.7032,8.542,47.3288,73.46,8.639,27.295,45.79,15.7076,36.3685,23.195,90,25.265,9.195,9.195,4.6269,1.003,5.36,340.0669,70.75,12.5535,28.7032,29.94,,18.1881,,12.4833,47.3288,26.495,40.3799,4.9177,,102.38,,,
3543,12/20/2012,31.895,,12.365,28.7264,8.524,47.5563,73.09,8.75,27,45.91,15.795,36.54,23.45,80,25.465,9.211,9.211,4.6567,1.0049,5.392,339.2366,70.61,12.4559,28.7264,30.085,,18.2299,,12.365,47.5563,26.625,40.0547,4.9003,,102.41,,,
3544,12/21/2012,31.955,,12.4983,28.0216,8.444,46.9839,72.78,8.732,26.535,45.42,15.8268,36.4644,23.47,80,25.465,9.229,9.229,4.5906,0.967,5.376,334.3791,70.07,12.4161,28.0216,30.01,,18.138,,12.4983,46.9839,26.54,39.6086,4.9453,,102.18,,,
