date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity
5/14/1999,131930,,1646150.0,1879990,1884526,,886885.0,184302,,27020.0,260420,,,13160.0,17478,30091.0,,,,,120171.0,27020,98385,,27025.0,,3098155.0,665505,1577134.0,19903,,203549.0,31590,5687184,181947,1879990,,202285.0,
5/17/1999,97370,,1093820.0,455880,1688505,,136064.0,224062,,86700.0,304440,,,37211.0,26174,32757.0,,,,,46983.0,86700,90090,,35834.0,,2745393.0,680607,1346720.0,78150,,130346.0,63464,1926882,143127,455880,,149381.0,
5/18/1999,287260,,1617502.0,475500,1721236,,311693.0,156507,,53390.0,377740,,,31867.0,17170,35760.0,,,,,52273.0,53390,174038,,23088.0,,2172909.0,202719,1265027.0,28582,,235582.0,51958,2680980,86544,475500,,173003.0,
5/19/1999,467400,,2815213.0,641180,2234969,,529847.0,655724,,106050.0,1067300,,,57674.0,22296,52259.0,,,,,46922.0,106050,1208288,,63028.0,,2794897.0,259485,1994050.0,253920,,309210.0,81776,2401488,105720,641180,,145926.0,
5/20/1999,477530,,2408143.0,7484790,2072765,,525867.0,523651,,59980.0,1546220,,,43092.0,44325,92333.0,,,,,101293.0,59980,733950,,49074.0,,3454663.0,373692,1262824.0,36410,,262819.0,449951,2687298,52623,7484790,,130164.0,
5/21/1999,114450,,4122791.0,5046450,2675636,,410703.0,559953,,37760.0,564960,,,23082.0,27294,70402.0,,,,,86518.0,37760,162068,,436133.0,,2547938.0,703410,1696813.0,56665,,161047.0,43923,2310786,33945,5046450,,523821.0,
5/25/1999,107360,,3003996.0,1498230,1724872,,187517.0,302304,,18720.0,515860,,,17096.0,30844,43135.0,,,,,25247.0,18720,70508,,47878.0,,2013397.0,347031,2286066.0,4414,,154303.0,71382,2406498,15939,1498230,,208262.0,
5/26/1999,425920,,3782317.0,725840,2212713,,360583.0,680528,,14370.0,447220,,,74356.0,19172,45828.0,,,,,11780.0,14370,166005,,46721.0,,3145704.0,436443,2287845.0,74967,,158927.0,53704,1910154,17373,725840,,283152.0,
5/27/1999,425490,,3668401.0,454020,982016,,284962.0,782714,,29890.0,451720,,,161773.0,4537,60704.0,,,,,23788.0,29890,104265,,32519.0,,4102080.0,969729,983642.0,11178,,1646962.0,28500,1999428,38760,454020,,318899.0,
5/28/1999,526490,,3991129.0,2412180,1252153,,119454.0,459210,,46550.0,879560,,,68441.0,10453,22019.0,,,,,63597.0,46550,103320,,45166.0,,2850175.0,1166367,2502823.0,26019,,95384.0,50721,1546014,25611,2412180,,170840.0,
5/31/1999,1532260,,4756519.0,1242110,1381939,,138529.0,1003716,,8390.0,132180,,,44098.0,7244,21233.0,,,,,17936.0,8390,1912838,,21373.0,,5026029.0,258519,1176943.0,332292,,79318.0,47096,1295034,99396,1242110,,844529.0,
6/1/1999,190550,,6286392.0,836090,1643416,,269371.0,301685,,8840.0,191920,,,60833.0,11296,35505.0,,,,,44034.0,8840,149783,,82487.0,,3419708.0,294147,1675609.0,42582,,108676.0,177583,1350606,206880,836090,,119034.0,
6/2/1999,650770,,3176872.0,3463110,1452437,,122025.0,253872,,40000.0,227460,,,82202.0,15567,28260.0,,,,,36176.0,40000,85995,,48234.0,,2781935.0,409467,1140385.0,48661,,181483.0,36146,1667094,20382,3463110,,128701.0,
6/3/1999,255870,,5284569.0,1790060,794809,,96394.0,165692,,54840.0,190860,,,39357.0,46710,51046.0,,,,,64266.0,54840,175508,,28667.0,,1407665.0,419970,2120013.0,191564,,73800.0,113699,950802,36909,1790060,,172632.0,
6/4/1999,583780,,3373626.0,767080,1242610,,64270.0,206348,,43720.0,390980,,,84592.0,24476,73925.0,,,,,22405.0,43720,175193,,72284.0,,1546944.0,460536,3209436.0,4904,,106037.0,72006,1442538,69339,767080,,123850.0,
6/7/1999,395460,,4117455.0,1025640,1972531,,2934080.0,257684,,16250.0,204000,,,44707.0,16932,35850.0,,,,,37514.0,16250,106995,,33906.0,,2862689.0,421509,1997042.0,99747,,220615.0,127911,2639598,89835,1025640,,228144.0,
6/8/1999,532580,,5572917.0,1132050,1064166,,106409.0,164897,,67220.0,215280,,,25310.0,87126,48736.0,,,,,17784.0,67220,66045,,59942.0,,3734274.0,313095,1815029.0,21115,,136951.0,97236,1227120,72897,1132050,,84745.0,
6/9/1999,904080,,3138434.0,1631250,1140381,,262392.0,386422,,337770.0,337420,,,74263.0,68624,217881.0,,,,,36799.0,337770,31605,,33717.0,,8464301.0,404367,1622843.0,143939,,228879.0,184819,3286866,43071,1631250,,121773.0,
