,date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE,,,
654,8/28/2001,32.75,19.28,2078.3928,17.3594,4.632,33.3295,44.54,16.8747,26.7845,,26.7,16.85,,,255.1259,44.6733,96.0783,,,,,6.6776,26.7,8.7514,,10.6891,,17.223,16.5833,38.4735,11.2072,,40.2541,67.9804,37.19,54.3,4.632,,41.65,,20.67,255.1259,,1.247,,17.3594,125.76,,,
655,8/29/2001,33,19.82,2050.2641,17.4719,4.582,33.735,44.6338,16.8379,26.6304,,26.12,17.005,,,251.5565,44.9192,94.0105,,,,,6.6711,26.12,8.9229,,10.6891,,17.6026,16.6633,38.5096,11.2396,,40.1073,65.485,35.81,55.7,4.582,,42.65,,20.67,251.5565,,1.224,,17.4719,126.09,,,
656,8/30/2001,32.55,19.28,2006.5085,17.0217,4.414,31.88,43.8461,16.8133,26.2606,,26,16.39,,,254.446,44.4684,92.8505,,,,,6.6447,26,8.8286,,10.5304,,16.3025,16.5867,37.8961,11.1316,,38.3093,63.897,34.27,54.4,4.414,,41.58,,20.2,254.446,,1.105,,17.0217,122.65,,,
657,8/31/2001,31.99,18.82,1950.8763,16.9373,4.312,30.4909,43.8555,17.1324,25.8753,,26.1,16.47,,,254.446,44.0585,91.4383,,,,,6.6711,26.1,8.7686,,10.522,,16.1412,16.3667,37.86,11.1424,,38.8964,66.468,33.5,54.1,4.312,,40.73,,20.67,254.446,,1.025,,16.9373,122.54,,,
658,9/3/2001,30.99,18.99,1859.6146,16.3184,4.34,29.1191,43.6023,16.6906,25.8907,,25.69,16.45,,,248.1571,44.2635,88.4626,,,,,6.6776,25.69,8.5474,,10.5721,,16.1317,16.2433,37.2825,11.1424,,38.9331,62.7628,33.51,54,4.34,,40.58,,19.83,248.1571,,1.03,,16.3184,121.08,,,
659,9/4/2001,31.4,19.94,1857.1143,16.5153,4.316,29.4642,44.6338,16.3715,26.5071,,25.29,16.75,,,252.0664,44.6733,85.7392,,,,,6.6447,25.29,8.1429,,10.4719,,16.0843,16,37.4269,11.1964,,39.9605,62.12,34.18,54.467,4.316,,41.89,,19.12,252.0664,,1.059,,16.5153,122.1,,,
660,9/5/2001,31,19.7,1776.4789,15.4743,4.212,27.3072,44.6431,16.1997,26.5071,,25.39,16.6,,,248.752,44.4274,86.5966,,,,,6.6447,25.39,7.4983,,10.4886,,14.2339,15.9167,37.5712,11.0235,,39.2633,59.7381,32.4,53.933,4.212,,41.29,,19.28,248.752,,1.02,,15.4743,119.59,,,
661,9/6/2001,29.5,19.06,1703.3445,14.5458,3.986,24.8483,44.7744,16.0892,26.3376,,25,16.29,,,242.888,44.0995,83.9739,,,,,6.6118,25,6.36,,10.522,,13.5696,15.9567,37.463,10.9695,,38.456,55.7303,28.3,53.333,3.986,,42.08,,18.72,242.888,,1.04,,14.5458,117.57,,,
662,9/7/2001,27.6,18.11,1631.4602,14.0676,4.015,24.8483,44.6338,16.1997,25.5825,,24,15.995,,,233.7096,43.9766,81.9565,,,,,6.6118,24,6.5143,,10.5471,,13.5696,15.47,37.102,10.9154,,38.456,57.8476,29.15,51.5,4.015,,41.8,,18.92,233.7096,,1.116,,14.0676,116,,,
663,9/10/2001,27.6,17.14,1687.7174,13.7918,4.217,26.7205,43.7336,16.1261,25.1972,,23.79,15.435,,,221.5567,42.9929,80.6957,,,,,6.5461,23.79,6.6583,,10.2381,,13.5602,15.25,36.5607,10.9154,,37.4653,58.5282,29.61,51.333,4.217,,41.5,,18.5,221.5567,,1.12,,13.7918,115.12,,,
