,date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES,,
1473,11/23/2004,1139.194,,1139.194,863.5,6165.792,,104.642,664.514,269.068,,169.186,183.857,292.25,,2350.218,420.621,339.243,158.744,,267.8,258.435,190,486.475,,,,221.226,,265.5,186.813,592.427,627,,130.166,296.25,,255.25,278.286,178.16,67.24,,573.615,,71.75,147.5,,365,347.47,122.5,,695.037,1055.653,,,564.958,,1189,214.229,221,421,,,,115.94,215.75,221.171,115.94,215.75,221.171,2361.22,,
1474,11/24/2004,1122.001,,1122.001,858.5,6178.038,,105.159,646.285,267.963,,168.644,182.571,290.25,,2305.309,429.361,343.827,162.178,,268.2,264.314,190,488.4,,,,219.001,,265,183.894,594.267,625.5,,125.017,298,,246.25,280.762,179.172,66.28,,571.634,,72.5,152.5,,375,346.409,121.75,,695.037,1053.674,,,563.5,,1205,212.517,223,421,,,,115.94,219.25,222.904,115.94,219.25,222.904,2352.34,,
1475,11/25/2004,1145.295,,1145.295,863,5951.49,,106.34,662.443,265.2,,168.372,185.143,291.75,,2300.818,442.472,345.465,157.687,,267.6,264.532,190,490.6,,,,220.559,,269.25,192.651,595.646,614.5,,122.751,295,,246.75,281.905,178.969,66.28,,577.908,,72.25,147.5,,377.25,347.47,122,,695.037,1051.035,,,571.958,,1193,212.731,223.75,424.75,,,,116.11,219.5,224.952,116.11,219.5,224.952,2367.12,,
1476,11/26/2004,1135.867,,1135.867,859.5,5737.187,,106.488,668.657,267.687,,168.101,183.857,289.5,,2317.285,451.758,335.968,157.423,,270.8,263.443,189.5,489.5,,,,219.668,,270,198.489,593.807,618,,125.223,293.5,,244.5,278.857,178.16,67.57,,579.229,,71.5,145,,380,343.226,122.5,,695.037,1055.653,,,576.333,,1200,215.727,224.75,431.25,,,,116.535,220,222.904,116.535,220,222.904,2362.13,,
1477,11/29/2004,1129.211,,1129.211,857,5767.802,,107.448,679.843,265.753,,168.372,182.571,289.75,,2300.818,446.842,337.933,159.272,,269.2,261.484,190.5,487.3,,,,220.114,,269,207.246,596.106,605,,125.017,291,,241.25,280.571,179.172,67.57,,584.843,,72.75,145,,383,341.634,121.75,,708.665,1056.313,,,577.5,,1190,221.078,225.75,432.75,,,,117.98,221.25,223.219,117.98,221.25,223.219,2365.33,,
1478,11/30/2004,1123.11,,1123.11,851,5700.449,,106.488,678.6,253.321,,166.746,186.429,288,,2245.431,446.569,340.553,162.442,,265.5,262.572,190,487.3,,,,220.559,,261,204.327,601.166,618.5,,124.811,297,,239.5,283.81,180.791,65.63,,585.173,,71.5,142.5,,382.5,340.043,121,,705.939,1053.014,,,574.292,,1191,218.724,225,429,,,,116.28,222,224.952,116.28,222,224.952,2345.21,,
1479,12/1/2004,1120.337,,1120.337,870.5,5798.416,,107.227,674.043,257.189,,168.101,185.786,292.25,,2281.358,442.472,340.553,163.234,,266.8,263.008,190.25,491.7,,,,220.114,,258,218.922,598.866,617,,124.193,294,,235,283.81,180.994,66.92,,587.815,,73,137.5,,379,337.921,121.5,,705.939,1054.333,,,553,,1191,218.296,224.75,430.5,,,,117.13,226,224.164,117.13,226,224.164,2359.47,,
1480,12/2/2004,1109.245,,1109.245,885,5718.818,,107.448,683.571,257.465,,168.101,186.107,299,,2181.062,454.762,343.172,165.083,,268.4,262.137,191.75,510.95,,,,226.345,,258,210.165,605.306,616.5,,130.784,297.5,,237.5,280.762,185.65,68.53,,589.136,,74,142.5,,375.25,335.799,122.5,,705.939,1076.766,,,560,,1201,220.864,223,432.75,,,,118.83,234.5,223.376,118.83,234.5,223.376,2367.29,,
1481,12/3/2004,1101.48,,1101.48,884.5,5620.851,,107.817,672.8,254.979,,168.101,183.214,301.75,,2170.583,461.044,345.137,166.932,,267.5,263.008,191.5,513.7,,,,228.126,,254.25,210.165,596.566,618.5,,132.225,293.25,,240.25,280.952,191.521,69.17,,586.824,,75.5,142.5,,362,339.247,123.25,,705.939,1091.281,,,560.875,,735,218.724,221.25,433.75,,,,122.485,231.5,226.054,122.485,231.5,226.054,2367.83,,
1482,12/6/2004,1095.379,,1095.379,882,5516.761,,107.596,673.628,251.94,,167.017,182.893,297.25,,2148.129,453.124,340.553,162.97,,267.4,262.79,190.75,511.5,,,,227.903,,255.25,207.246,600.246,621.5,,131.813,303.25,,238,277.333,195.975,70.78,,588.145,,74.25,135,,363,338.451,122.25,,705.939,1088.642,,,566.708,,719,220.222,217.5,430.25,,,,120.785,227.25,224.164,120.785,227.25,224.164,2356.34,,
